contrast_id,query_id,kind,terms,main_effects,main_directions,original_background_effect,mean_to_ncc_direction_preserved,ab_directions_agree_resolved,all_five_directions_agree_resolved,single_probe_directions,leave_one_out_directions,all_single_probes_agree_with_ncc,all_leave_one_out_agree_with_ncc
EPL-541:position-A,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]","{""ab_forward/answer_sum"":-0.3898124694824219,""ab_reverse/answer_sum"":-1.0333900451660156,""ncc"":-0.16549113389547765,""original/answer_mean"":-0.08807042439778648,""original/answer_sum"":-0.3461189270019531}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.07742070949769086,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
EPL-541:background-A,541,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-A""},{""coefficient"":-1,""condition"":""R-A""}]","{""ab_forward/answer_sum"":-0.11801528930664062,""ab_reverse/answer_sum"":-0.60455322265625,""ncc"":-0.198817369053907,""original/answer_mean"":-0.3471028645833333,""original/answer_sum"":-0.9635467529296875}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.14828549552942594,True,True,True,"{""empty"":""positive"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",False,True
EPL-541:position-C1,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-C1""},{""coefficient"":-1,""condition"":""P0-C1""}]","{""ab_forward/answer_sum"":0.4341888427734375,""ab_reverse/answer_sum"":0.5016021728515625,""ncc"":0.43359391302193595,""original/answer_mean"":0.003101857503255201,""original/answer_sum"":0.08896255493164062}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",-0.43049205551868086,True,True,True,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True
EPL-541:background-C1,541,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-C1""},{""coefficient"":-1,""condition"":""R-C1""}]","{""ab_forward/answer_sum"":-0.5865669250488281,""ab_reverse/answer_sum"":-1.9271087646484375,""ncc"":-0.28663832633491504,""original/answer_mean"":-0.3792701721191406,""original/answer_sum"":-0.9303398132324219}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.09263184578422567,True,True,True,"{""empty"":""positive"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",False,True
EPL-541:position-C2,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-C2""},{""coefficient"":-1,""condition"":""P0-C2""}]","{""ab_forward/answer_sum"":0.8397789001464844,""ab_reverse/answer_sum"":0.9173736572265625,""ncc"":0.2456682247382984,""original/answer_mean"":0.03195775349934893,""original/answer_sum"":0.20859909057617188}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",-0.21371047123894948,True,True,True,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True
EPL-541:background-C2,541,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-C2""},{""coefficient"":-1,""condition"":""R-C2""}]","{""ab_forward/answer_sum"":-0.5608367919921875,""ab_reverse/answer_sum"":-1.5926284790039062,""ncc"":-0.332515278576226,""original/answer_mean"":-0.3789871215820313,""original/answer_sum"":-1.0008087158203125}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.046471843005805535,True,True,True,"{""empty"":""positive"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",False,True
EPL-541:position-D1,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-D1""},{""coefficient"":-1,""condition"":""P0-D1""}]","{""ab_forward/answer_sum"":0.4219207763671875,""ab_reverse/answer_sum"":0.1945953369140625,""ncc"":-0.23193165889327805,""original/answer_mean"":-0.029690551757812517,""original/answer_sum"":-0.0914306640625}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.20224110713546528,True,True,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
EPL-541:background-D1,541,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-D1""},{""coefficient"":-1,""condition"":""R-D1""}]","{""ab_forward/answer_sum"":-0.32147216796875,""ab_reverse/answer_sum"":-0.8190460205078125,""ncc"":-0.17007024697663775,""original/answer_mean"":-0.33984375,""original/answer_sum"":-0.9369430541992188}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.16977350302336225,True,True,True,"{""empty"":""positive"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""positive""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",False,True
EPL-541:position-D2,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-D2""},{""coefficient"":-1,""condition"":""P0-D2""}]","{""ab_forward/answer_sum"":-0.188568115234375,""ab_reverse/answer_sum"":-0.8481864929199219,""ncc"":-0.29417964254896845,""original/answer_mean"":-0.016802724202473973,""original/answer_sum"":-0.045879364013671875}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",0.27737691834649425,True,True,True,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True
EPL-541:background-D2,541,partner_rewrite_bridge,"[{""coefficient"":1,""condition"":""P0-D2""},{""coefficient"":-1,""condition"":""R-D2""}]","{""ab_forward/answer_sum"":0.024600982666015625,""ab_reverse/answer_sum"":-0.5642623901367188,""ncc"":-0.189800707748927,""original/answer_mean"":-0.3443992614746094,""original/answer_sum"":-0.9445686340332031}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.1545985537256822,True,False,False,"{""empty"":""positive"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",False,True
