record_id,protocol_id,task,condition,candidate_id,labels,ordinal,answer_mean,answer_sum,eos_logprob,mean_with_eos,total_with_eos,answer_tokens
EA-5086-hate-v1:T0_L0,EA-5086-hate-v1,hate,T0_L0,hate,"[""hate""]",0,-0.4554278055826823,-1.3662834167480469,0.0,-0.3415708541870117,-1.3662834167480469,3
EA-5086-hate-v1:T0_L0,EA-5086-hate-v1,hate,T0_L0,non-hate,"[""non-hate""]",1,-0.27773094177246094,-1.3886547088623047,0.0,-0.23144245147705078,-1.3886547088623047,5
EA-5086-hate-v1:T0_L1,EA-5086-hate-v1,hate,T0_L1,hate,"[""hate""]",0,-0.9833552042643229,-2.9500656127929688,0.0,-0.7375164031982422,-2.9500656127929688,3
EA-5086-hate-v1:T0_L1,EA-5086-hate-v1,hate,T0_L1,non-hate,"[""non-hate""]",1,-0.5924964904785156,-2.962482452392578,0.0,-0.493747075398763,-2.962482452392578,5
EA-5086-hate-v1:T1_L0,EA-5086-hate-v1,hate,T1_L0,hate,"[""hate""]",0,-0.7394485473632812,-2.2183456420898438,0.0,-0.5545864105224609,-2.2183456420898438,3
EA-5086-hate-v1:T1_L0,EA-5086-hate-v1,hate,T1_L0,non-hate,"[""non-hate""]",1,-0.5553302764892578,-2.776651382446289,0.0,-0.46277523040771484,-2.776651382446289,5
EA-5086-hate-v1:T1_L1,EA-5086-hate-v1,hate,T1_L1,hate,"[""hate""]",0,-0.8597971598307291,-2.5793914794921875,0.0,-0.6448478698730469,-2.5793914794921875,3
EA-5086-hate-v1:T1_L1,EA-5086-hate-v1,hate,T1_L1,non-hate,"[""non-hate""]",1,-0.4603057861328125,-2.3015289306640625,0.0,-0.38358815511067706,-2.3015289306640625,5
EA-541-hate-v1:demo_removed_dictionary_fixed,EA-541-hate-v1,hate,demo_removed_dictionary_fixed,hate,"[""hate""]",0,-0.17961629231770834,-0.538848876953125,0.0,-0.13471221923828125,-0.538848876953125,3
EA-541-hate-v1:demo_removed_dictionary_fixed,EA-541-hate-v1,hate,demo_removed_dictionary_fixed,non-hate,"[""non-hate""]",1,-0.188409423828125,-0.942047119140625,0.0,-0.15700785319010416,-0.942047119140625,5
EA-1128-hate-v1:demo_removed_dictionary_fixed,EA-1128-hate-v1,hate,demo_removed_dictionary_fixed,hate,"[""hate""]",0,-5.089333852132161,-15.268001556396484,0.0,-3.817000389099121,-15.268001556396484,3
EA-1128-hate-v1:demo_removed_dictionary_fixed,EA-1128-hate-v1,hate,demo_removed_dictionary_fixed,non-hate,"[""non-hate""]",1,-3.814697265625e-06,-1.9073486328125e-05,0.0,-3.1789143880208335e-06,-1.9073486328125e-05,5
EA-3169-hate-v1:demo_removed_dictionary_fixed,EA-3169-hate-v1,hate,demo_removed_dictionary_fixed,hate,"[""hate""]",0,-0.16103235880533853,-0.4830970764160156,0.0,-0.1207742691040039,-0.4830970764160156,3
EA-3169-hate-v1:demo_removed_dictionary_fixed,EA-3169-hate-v1,hate,demo_removed_dictionary_fixed,non-hate,"[""non-hate""]",1,-0.22479248046875,-1.12396240234375,0.0,-0.18732706705729166,-1.12396240234375,5
EA-4026-hate-v1:demo_removed_dictionary_fixed,EA-4026-hate-v1,hate,demo_removed_dictionary_fixed,hate,"[""hate""]",0,-1.422821044921875,-4.268463134765625,0.0,-1.0671157836914062,-4.268463134765625,3
EA-4026-hate-v1:demo_removed_dictionary_fixed,EA-4026-hate-v1,hate,demo_removed_dictionary_fixed,non-hate,"[""non-hate""]",1,-0.3717864990234375,-1.8589324951171875,0.0,-0.30982208251953125,-1.8589324951171875,5
EA-541-hate-v1:original,EA-541-hate-v1,hate,original,hate,"[""hate""]",0,-0.5892626444498698,-1.7677879333496094,0.0,-0.44194698333740234,-1.7677879333496094,3
EA-541-hate-v1:original,EA-541-hate-v1,hate,original,non-hate,"[""non-hate""]",1,-0.23768234252929688,-1.1884117126464844,0.0,-0.19806861877441406,-1.1884117126464844,5
EA-1128-hate-v1:original,EA-1128-hate-v1,hate,original,hate,"[""hate""]",0,-4.940284729003906,-14.820854187011719,-3.814697265625e-06,-3.705214500427246,-14.820858001708984,3
EA-1128-hate-v1:original,EA-1128-hate-v1,hate,original,non-hate,"[""non-hate""]",1,-7.62939453125e-07,-3.814697265625e-06,0.0,-6.357828776041666e-07,-3.814697265625e-06,5
EA-3169-hate-v1:original,EA-3169-hate-v1,hate,original,hate,"[""hate""]",0,-0.032071431477864586,-0.09621429443359375,0.0,-0.024053573608398438,-0.09621429443359375,3
EA-3169-hate-v1:original,EA-3169-hate-v1,hate,original,non-hate,"[""non-hate""]",1,-0.7730789184570312,-3.8653945922851562,0.0,-0.644232432047526,-3.8653945922851562,5
EA-4026-hate-v1:original,EA-4026-hate-v1,hate,original,hate,"[""hate""]",0,-1.3844362894694011,-4.153308868408203,0.0,-1.0383272171020508,-4.153308868408203,3
EA-4026-hate-v1:original,EA-4026-hate-v1,hate,original,non-hate,"[""non-hate""]",1,-0.5367210388183594,-2.683605194091797,0.0,-0.4472675323486328,-2.683605194091797,5
EA-6037-hate-v1:original,EA-6037-hate-v1,hate,original,hate,"[""hate""]",0,-2.386876424153646,-7.1606292724609375,0.0,-1.7901573181152344,-7.1606292724609375,3
EA-6037-hate-v1:original,EA-6037-hate-v1,hate,original,non-hate,"[""non-hate""]",1,-0.00016937255859375,-0.00084686279296875,0.0,-0.000141143798828125,-0.00084686279296875,5
EA-6037-hate-v1:source_edge_masked,EA-6037-hate-v1,hate,source_edge_masked,hate,"[""hate""]",0,-1.2151769002278645,-3.6455307006835938,0.0,-0.9113826751708984,-3.6455307006835938,3
EA-6037-hate-v1:source_edge_masked,EA-6037-hate-v1,hate,source_edge_masked,non-hate,"[""non-hate""]",1,-0.0054229736328125,-0.0271148681640625,0.0,-0.004519144694010417,-0.0271148681640625,5
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-00,[],0,-19.91790199279785,-19.91790199279785,0.0,-9.958950996398926,-19.91790199279785,1
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-01,"[""Racism""]",1,-8.161775970458985,-40.80887985229492,0.0,-6.801479975382487,-40.80887985229492,5
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-02,"[""Region""]",2,-15.919100443522135,-47.757301330566406,0.0,-11.939325332641602,-47.757301330566406,3
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-03,"[""Racism"",""Region""]",3,-8.45131002153669,-59.159170150756836,0.0,-7.3948962688446045,-59.159170150756836,7
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-04,"[""LGBTQ""]",4,-1.566156768798828,-7.830783843994141,0.0,-1.3051306406656902,-7.830783843994141,5
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-05,"[""Racism"",""LGBTQ""]",5,-3.6248686048719616,-32.623817443847656,0.0,-3.262381744384766,-32.623817443847656,9
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-06,"[""Region"",""LGBTQ""]",6,-6.04980959211077,-42.34866714477539,0.0,-5.293583393096924,-42.34866714477539,7
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-07,"[""Racism"",""Region"",""LGBTQ""]",7,-4.918165900490501,-54.09982490539551,0.0,-4.508318742116292,-54.09982490539551,11
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-08,"[""Sexism""]",8,-6.446193695068359,-25.784774780273438,0.0,-5.156954956054688,-25.784774780273438,4
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-09,"[""Racism"",""Sexism""]",9,-4.4272050857543945,-35.417640686035156,0.0,-3.9352934095594616,-35.417640686035156,8
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-10,"[""Region"",""Sexism""]",10,-8.08285903930664,-48.497154235839844,0.0,-6.928164890834263,-48.497154235839844,6
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-11,"[""Racism"",""Region"",""Sexism""]",11,-5.809507942199707,-58.09507942199707,0.0,-5.2813708565451885,-58.09507942199707,10
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-12,"[""LGBTQ"",""Sexism""]",12,-0.4770774841308594,-3.816619873046875,0.0,-0.4240688747829861,-3.816619873046875,8
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-13,"[""Racism"",""LGBTQ"",""Sexism""]",13,-3.233944574991862,-38.807334899902344,0.0,-2.985179607684796,-38.807334899902344,12
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-14,"[""Region"",""LGBTQ"",""Sexism""]",14,-4.457035064697266,-44.570350646972656,0.0,-4.051850058815696,-44.570350646972656,10
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-15,"[""Racism"",""Region"",""LGBTQ"",""Sexism""]",15,-4.015612602233887,-56.218576431274414,0.0,-3.7479050954182944,-56.218576431274414,14
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-16,"[""others""]",16,-12.053479512532553,-36.160438537597656,0.0,-9.040109634399414,-36.160438537597656,3
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-17,"[""Racism"",""others""]",17,-7.2488283429827005,-50.741798400878906,0.0,-6.342724800109863,-50.741798400878906,7
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-18,"[""Region"",""others""]",18,-12.46793212890625,-62.33966064453125,0.0,-10.389943440755209,-62.33966064453125,5
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-19,"[""Racism"",""Region"",""others""]",19,-7.461093266805013,-67.14983940124512,0.0,-6.714983940124512,-67.14983940124512,9
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-20,"[""LGBTQ"",""others""]",20,-2.823169708251953,-19.762187957763672,0.0,-2.470273494720459,-19.762187957763672,7
EA-541-group-v1:answer_reviewed,EA-541-group-v1,group,answer_reviewed,group-21,"[""Racism"",""LGBTQ"",""others""]",21,-4.87913686578924,-53.67050552368164,0.0,-4.47254212697347,-53.67050552368164,11
