condition_id	query_id	query_short_id	family_id	lexicon_arm	demo_arm	condition_group	lexicon_ids	demo_ids	demo_answers	focal_relation_dimension	foreground_relation_proposal	foreground_focal_word	qwen8b_prompt_sha256	human_adoption	eligible_for_GPU
CMAD-HP-Q1-L0-D0	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D0	core	[]	[]	[]	semantic_reference_fit			77b1ebfdf9d1038761e21b087a9d2ca4c9fc0005c4af124da3644f2290ee8e3d		False
CMAD-HP-Q1-L0-D11	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D11	core	[]	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	cbf13178e1b7340a9790672ad8d5529a456f7071aebcf10a04d395452f0781a0		False
CMAD-HP-Q1-L0-D10	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D10	core	[]	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	fd295da8e9586fffc2daf2bd18cb9d3b58937731b39cd2f09cf89ee076947156		False
CMAD-HP-Q1-L0-D01	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D01	core	[]	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	fcf0f9cb485a6a0f7ffe6e9ab949f543002aeec626eccbcc4c6a08753da65270		False
CMAD-HP-Q1-L0-D00	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D00	core	[]	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	eb8667acc103754e1408e0470107765ff373d82833442a4f2b2096938b3da48b		False
CMAD-HP-Q1-L1-D0	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D0	core	"[""CMAD-HP-L1""]"	[]	[]	semantic_reference_fit			d6054f8641dfa70f6ac1938f10cc7faa3dcf60cb05e4465e17509afd19e7e8da		False
CMAD-HP-Q1-L1-D11	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D11	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	b7dad3547c823ab3515b19bda7be910daebb42bb30426efde1114c0ee2f8ae28		False
CMAD-HP-Q1-L1-D10	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D10	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	d18c326bdd18be7826e06f5968b168fd8d6e80b41273a0bfecc411114842d032		False
CMAD-HP-Q1-L1-D01	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D01	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	782405eb839b1452e464eda153230cb9898fcbd466774f1261c44982903ca0f7		False
CMAD-HP-Q1-L1-D00	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D00	core	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	124a66f6f66fcd94005f78648ddf06714e8860f81bf8c88499d714d4ba50ce9c		False
CMAD-HP-Q1-L2-D0	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D0	core	"[""CMAD-HP-L2""]"	[]	[]	semantic_reference_fit			7d094e0b3f6d41d0460b666d1a407646392abddbfbef95a5dfdd315a5b269640		False
CMAD-HP-Q1-L2-D11	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D11	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-L-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	present	3c2354e4800f3614542ad291a550b82a3f3e7f1f675abfd3749a4698331e102b		False
CMAD-HP-Q1-L2-D10	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D10	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	283803690d9b136ddd9d2ec238aa5e4a4981bfd6426799e3dbbd5cd6acd12f92		False
CMAD-HP-Q1-L2-D01	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D01	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	a85864417fac05bbeb947b33b47b6bbda2a3075ce5b9c18ab6837ee3efa98300		False
CMAD-HP-Q1-L2-D00	CMAD-HP-Q1	HP-Q1	CMAD-HP	L2	D00	core	"[""CMAD-HP-L2""]"	"[""CMAD-HP-D-F-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	absent	88ed25e508cc1e58d8071507751a316389d82e07f806d6a6e4144fd3445d6d9e		False
CMAD-HP-Q1-N-D0	CMAD-HP-Q1	HP-Q1	CMAD-HP	N	D0	neutral_diagnostic	"[""CMAD-HP-N""]"	[]	[]	semantic_reference_fit			3a6efea18edfced1e1bc692b754bb626b8c3a2670f4c58c9b19489ebd2fcb90c		False
CMAD-HP-Q1-N-D10	CMAD-HP-Q1	HP-Q1	CMAD-HP	N	D10	neutral_diagnostic	"[""CMAD-HP-N""]"	"[""CMAD-HP-D-L-A"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	direct	absent	765bcbeb89fe52994050451d7f1c8514d442ca1ca564a983bfb586b2c5fb6c1c		False
CMAD-HP-Q1-N-D01	CMAD-HP-Q1	HP-Q1	CMAD-HP	N	D01	neutral_diagnostic	"[""CMAD-HP-N""]"	"[""CMAD-HP-D-F-P"", ""CMAD-HP-D-ANCHOR""]"	"[""有"", ""无""]"	semantic_reference_fit	none	present	14efc9d072581c041487d40a2277eca3861d288153f949361c3c0bd876d507bb		False
CMAD-HP-Q1-L0-D10S	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D10S	label_mapping_diagnostic	[]	"[""CMAD-HP-D-L-A-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	direct	absent	c6403c3ba89de132675064648c04249ddfdd159b3a94f7c137bcd43c8400a686		False
CMAD-HP-Q1-L0-D01S	CMAD-HP-Q1	HP-Q1	CMAD-HP	L0	D01S	label_mapping_diagnostic	[]	"[""CMAD-HP-D-F-P-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	none	present	18dfe09ae673febd1d72f09fcd2c882b830e998a8c587c6f15f16b1378db3d7c		False
CMAD-HP-Q1-L1-D10S	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D10S	label_mapping_diagnostic	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-L-A-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	direct	absent	6f959ff6ba93f78812a94a25c0e5fb0b75763ef1feca90c40663de29b58c095d		False
CMAD-HP-Q1-L1-D01S	CMAD-HP-Q1	HP-Q1	CMAD-HP	L1	D01S	label_mapping_diagnostic	"[""CMAD-HP-L1""]"	"[""CMAD-HP-D-F-P-SWAP"", ""CMAD-HP-D-ANCHOR-SWAP""]"	"[""无"", ""有""]"	semantic_reference_fit	none	present	f4afa48f609911e1103005489ab41f840a53dd5745350ac38238689e5ca02428		False
